ID:48.03762629.332093,Latitude:29.332093,TotalMRCount:63,Longitude:48.037626,
ID:48.03056129.345014,Latitude:29.345014,TotalMRCount:125,Longitude:48.030561,
ID:48.0327129.341905,Latitude:29.341905,TotalMRCount:277,Longitude:48.03271,
ID:48.04762629.342236,Latitude:29.342236,TotalMRCount:209,Longitude:48.047626,
ID:48.04563429.339937,Latitude:29.339937,TotalMRCount:788,Longitude:48.045634,
ID:48.02860829.341363,Latitude:29.341363,TotalMRCount:8,Longitude:48.028608,
ID:48.03687729.340194,Latitude:29.340194,TotalMRCount:22922,Longitude:48.036877,
ID:48.03920129.348814,Latitude:29.348814,TotalMRCount:542,Longitude:48.039201,
ID:48.03058729.344113,Latitude:29.344113,TotalMRCount:222,Longitude:48.030587,
ID:48.04304929.340331,Latitude:29.340331,TotalMRCount:2281,Longitude:48.043049,
ID:48.03437129.337883,Latitude:29.337883,TotalMRCount:3007,Longitude:48.034371,
ID:48.03489829.337444,Latitude:29.337444,TotalMRCount:1562,Longitude:48.034898,
ID:48.03592729.337467,Latitude:29.337467,TotalMRCount:1281,Longitude:48.035927,
ID:48.07477229.346893,Latitude:29.346893,TotalMRCount:6,Longitude:48.074772,
ID:48.04022429.331249,Latitude:29.331249,TotalMRCount:730,Longitude:48.040224,
ID:48.04361629.33854,Latitude:29.33854,TotalMRCount:3935,Longitude:48.043616,
ID:48.04060829.335767,Latitude:29.335767,TotalMRCount:2208,Longitude:48.040608,
ID:48.0363129.341985,Latitude:29.341985,TotalMRCount:9975,Longitude:48.03631,
ID:48.03512529.34737,Latitude:29.34737,TotalMRCount:13,Longitude:48.035125,
ID:48.0388329.343845,Latitude:29.343845,TotalMRCount:1922,Longitude:48.03883,
ID:48.03321129.342367,Latitude:29.342367,TotalMRCount:1112,Longitude:48.033211,
ID:48.03539929.337906,Latitude:29.337906,TotalMRCount:4807,Longitude:48.035399,
ID:48.03677329.343799,Latitude:29.343799,TotalMRCount:1714,Longitude:48.036773,
ID:48.04339429.346201,Latitude:29.346201,TotalMRCount:30,Longitude:48.043394,
ID:48.04299729.342134,Latitude:29.342134,TotalMRCount:1114,Longitude:48.042997,
ID:48.04241829.344376,Latitude:29.344376,TotalMRCount:555,Longitude:48.042418,
ID:48.03114129.342772,Latitude:29.342772,TotalMRCount:167,Longitude:48.031141,
ID:48.03575729.343326,Latitude:29.343326,TotalMRCount:4616,Longitude:48.035757,
ID:48.03330329.339212,Latitude:29.339212,TotalMRCount:51,Longitude:48.033303,
ID:48.03621929.34514,Latitude:29.34514,TotalMRCount:285,Longitude:48.036219,
ID:48.03371329.342829,Latitude:29.342829,TotalMRCount:4156,Longitude:48.033713,
ID:48.03376529.341027,Latitude:29.341027,TotalMRCount:151,Longitude:48.033765,
